m_number,no_of_grounds,description,colour_code,1,2,3,layer1_colour,layer1_composition,layer2_colour,layer2_composition,layer3_colour,layer3_composition,toplayer_colour,reliability,sample,microscopy,elem_analysis,sample_location,sample_name_1,sample_link_1,sample_name_2,sample_link_2,researchers,source,dttg_new_research,notes
M681,2,"1. Light warm brown ground with larger particles
2. Lighter warm brown ground ",LBr-LBr,,,,LBr,"Chalk, lead white, umber, red earth",LBr,"Lead white, umber, aluminosilicates",,,LBr,1,YES,YES,YES,,"46c, 46d",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M682,2,"1. Yellowish orange layer
2. Light brown layer",LO-LBr,,,,LO,"Yellow earth, chalk, lead white, quartz, aluminosilicates, carbon black, umber",LBr,"Lead white, chalk, yellow earth, carbon black, umber, aluminosilicates",,,LBr,1,YES,YES,YES,,"24a, 24f, 24m",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M683,2,"1. Very light orange layer
2. Light brown layer",LO-LBr,,,,LO,"Chalk, carbon black, yellow earth, red lead, lead white",LBr,"Lead white, yellow earth, carbon black, brown earth",,,LBr,1,YES,YES,YES,,KD16(10),,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M684,2,"1. Dark orange layer with some lead white
2. Brownish grey layer with large particles",DO-Br,,,,DO,"Yellow earth, aluminosilicates, lead white, quartz, brown earth, chalk",Br,"Lead white, chalk, quartz, brown earth",,,Br,1,YES,YES,YES,,"444b, 444c",,,,"David Buti, Gianluca Pastorelli",SMK Kress/National Gallery spreadsheet (unpublished),,
M685,2,"1. Dark orange layer with large brown aggregates
2. Warm grey layer with what looks like charcoal",DO-G,,,,O,"Red earth, aluminosilicates, brown earth",G,"Lead white, carbon black, quartz, brown earth",,,G,1,YES,YES,YES,,"87a, 87b",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M686,2,"1. Brown layer
2. Light brown layer",Br-LBr,,,,Br,"Chalk, aluminosilicates, quartz, vermilion, lead white, carbon black",LBr,"Lead white, brown earth",,,LBr,1,YES,YES,YES,,243a,,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M687,2,"1. Orange layer
2. Light orange layer with lead white",O-LO,,,,O,"Yellow earth, aluminosilicates, quartz, manganese oxide, lead white",LO,"Yellow earth, lead white, aluminosilicates, qyartz, manganese oxide",,,LO,1,YES,YES,YES,,"39a, 39f",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M688,3,"1. Red layer
2. Grey layer, mixes down into red layer
3. Dark grey layer",R-G-DG,,,,R,"Red earth, chalk, brown earth, bone black, quartz, barite",G,"Lead white, carbon black",DG,"Carbon black, lead white",DG,1,YES,YES,YES,,"89a, 89b",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M689,2,"1. Red layer
2. Grey layer",R-G,,,,R,"Red earth, chalk, brown earth, quartz, barite, manganese oxide",G,"Lead white, carbon black",,,G,1,YES,YES,YES,,"88a, 88b",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M690,1,1. Light brown ground,LBr,,,,LBr,"Lead white, brown earth, chalk, red earth",,,,,LBr,1,YES,YES,YES,,"557a, 557b",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M691,1,1. Orange ground,O,,,,O,"Red earth, chalk, aluminosilicates, lead white, quartz, carbon black",,,,,O,1,YES,YES,YES,,"KMS1175-F3, KMS1175-F1",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M692,1,1. Bright red ground,R,,,,R,"Hematite, quartz, aluminosilicates, chalk, carbon black",,,,,R,1,YES,YES,YES,,KMS1168-F6,,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M693,2,"1. Thin off-white layer
2. Thin light orange layer",LY-LO,,,,LY,Lead-based component,LO,"Lead white, yellow earth, brown earth, chalk, red earth",,,LO,1,YES,YES,YES,,"45a, 45b",,,,"David Buti, Gianluca Pastorelli",SMK Kress/National Gallery spreadsheet (unpublished),,
M694,1,1. Pink ground,P,,,,P,"Lead white, chalk, hematite, goethite, carbon black",,,,,LP,1,YES,YES,YES,,"100b, 100d, 100e. 103a",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M695,3,"1. Light brown layer chalk
2. Grey layer
3. Light grey layer",LBr-G-LG,,,,LBr,"Chalk, carbon black, brown earth",G,"Chalk, lead white, carbon black",LG,"Lead white, carbon black, chalk, yellow earth",LG,1,YES,YES,YES,,"189a, 189b, 189c",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M696,2,"1. Orange layer
2. Yellow layer",O-Y,,,,O,"Red earth, chalk, aluminosilicates, brown earth",Y,"Lead white, yellow earth, asphalt, quartz, aluminosilicates",,,Y,1,YES,YES,YES,,"14c, 14e",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,"Looks like a single orange ground in some of the samples, based on lead white with some larger dark brown/black particles"
M697,3,"1. Off-white layer based on lead white and chalk
2. Dark brown layer
3. Light brown layer",LY-DBr-LBr,,,,LY,"Lead white, chalk, brown earth, manganese oxide",DBr,"Brown earth, bone black, lead white",LBr,"Lead white, brown earth, manganese oxide, bone black",LBr,1,YES,YES,YES,,"77c, 77a, 77b",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M698,2,"1. Warm light brown layer
2. Thin grey layer",LBr-G,,,,LBr,"Lead white, yellow earth, brown earth, quartz, vermilion",G,"Lead white, quartz, carbon black, vermilion",,,G,1,YES,YES,YES,,"44a, 44c",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M699,2,"1. Light grey layer
2. Light brownish grey layer",LG-G,,,,LG,"Lead white, manganese oxide, brown earth",G,"Lead white, brown earth, manganese oxide",,,G,1,YES,YES,YES,,KD20(15),,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M700,1,1. Brownish grey ground,G,,,,G,"Lead white, red earth, aluminosilicates, quartz, feldspar, brown earth, chalk",,,,,G,1,YES,YES,YES,,"62a, 62f",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M701,1,1. Light grey ground,LG,,,,LG,"Lead white, carbon black, chalk, yellow earth",,,,,LG,1,YES,YES,YES,,"KD19(13), KD19(14)",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M702,1,1. Lightly tinted lead white ground,LY,,,,LY,"Lead white, yellow earth, lead soap, red lead",,,,,LY,1,YES,YES,YES,,234a,,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M703,1,"1. Off-white chalk layer
2. White layer",LY-W,,,,LY,"Calcium carbonate (chalk), carbon black",W,"Lead white, yellow earth",,,LY,1,YES,YES,YES,,235a,,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M704,2,"1. Dark brown layer
2. Light brown layer",DBr-LBr,,,,DBr,"Chalk, brown earth, umber, aluminosilicates, feldspar, quartz, red earth",LBr,"Lead white, carbon black, aluminosilicates, quartz, feldspar, chalk, yellow earth",,,LBr,1,YES,YES,YES,,"474a, 474b",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,
M705,2,"1. Briight red layer with large lead soaps and red lead
2. Light greyish brown layer",R-LBr,,,,R,"Red earth, chalk, aluminosilicates, barite, carbon black, cinnabar, lead soap, red lead",LBr,"Chalk, lead white, aluminosilicates, carbon black, red earth, yellow earth, cinnabar",,,LBr,1,YES,YES,YES,,648a,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M706,2,"1. Bright red layer
2. Warm grey layer",R-G,,,,R,"Red earth, aluminum oxide, feldspar, quartz, aluminosilicates, brown earth, titanium-based impurities",G,"Lead white, brown earth, aluminum oxide, chalk",,,G,1,YES,YES,YES,,646b,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M707,2,"1. Reddish brown layer
2. Brownish grey layer",Br-G,,,,Br,"Aluminium oxide/ hydroxide, red earth, quartz, brown earth, feldspar, yellow earth, lead white, carbon black, chalk, titanium-based impurities",G,"Chalk, lead white, aluminosilicates, yellow earth",,,G,1,YES,YES,YES,,647b,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M708,1,1. Red ground,R,,,,R,"Aluminium oxide/ hydroxide, chalk, red earth, quartz, bone black, lead white, yellow earth, lead soap",,,,,R,1,YES,YES,YES,,652b,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M709,2,"1. Light grey layer
2. Dark grey layer",LG-DG,,,,LG,"Chalk, lead white, brown earth, quartz, aluminosilicates, malachite, red lake",DG,"Chalk, lead white. carbon black, red lake, cinnabar",,,DG,1,YES,YES,YES,,650a,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M710,1,1. Semitransparent red ground,R,,,,R,"Chalk, aluminosilicates, feldspar, quartz, red earth, lead white",,,,,R,1,YES,YES,YES,,"645a, 645b",,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M711,1,1. Red ground,R,,,,R,"Chalk, aluminosilicates, feldspar, quartz, red earth, biotite, carbon black, titanium-based impurities, lead white",,,,,R,1,YES,YES,YES,,"642b, 642a",,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M712,1,1. Red ground,R,,,,R,"Chalk, aluminosilicates, quartz, red earth, feldspar, titanium-based impurities",,,,,R,1,YES,YES,YES,,643a,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M713,1,1. Red ground,R,,,,R,"Aluminosilicates, chalk, quartz, feldspar, red earth, brown earth, apatite, titanium-based impurities",,,,,R,1,YES,YES,YES,,641a,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M714,1,1. Red ground,R,,,,R,"Chalk, aluminosilicates, red earth, quartz, feldspar, dolomite, carbon black, titanium-based impurities",,,,,R,1,YES,YES,YES,,644a,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M715,1,1. Warm brown ground,Br,,,,Br,"Yellow earth, chalk, carbon black, quartz, lead white, mica",,,,,Br,1,YES,YES,YES,,KMS1171-F5,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M716,1,1. Warm grey ground,G,,,,G,"Chalk, lead white, aluminium oxide/ hydroxide, brown earth, carbon black, quartz, apatite, hematite",,,,,G,1,YES,YES,YES,,KMS1167-F2Y,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M717,2,"1. Dark red layer
2. Light warm grey layer",DR-LG,,,,DR,"Red earth, chalk, iron oxide, quartz, aluminosilicates, lead soap, red lead",LG,"Aluminosilicates, chalk, quartz, lead white, barite, carbon black",,,LG,1,YES,YES,YES,,KMSsp228-F6,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M718,3,"1. Orange layer
2. Orange layer
3. Grey layer",O-O-G,,,,O,Red earth,O,"Aluminosilicates, red earth, red lake. carbon black, quartz, lead white, lead soap",G,"Silicate, aluminosilicates, quartz, apatite, red lake, azurite, hematite",G,1,YES,YES,YES,,KMS1170-F1,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M719,2,"1. Red layer (two applications?) with large quartz particles
2. Light warm grey layer",R-LG,,,,R,"Red earth, aluminosilicates, feldspar, quartz, chalk, carbon black, bone black, lead white, lead soap, titanium-based impurities",LG,"Lead white, chalk, carbon black, yellow earth, quartz",,,LG,1,YES,YES,YES,,KMS1172-F3,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M720,3,"1. Orange layer
2. Light grey layer",O-LG,,,,O,"Red earth, chalk",LG,"Chalk, feldspar, barite, carbon black",,,LG,1,YES,YES,YES,,KMS1378-F4,,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M721,1,1. Bright red ground (two application?),R,,,,R,"Red earth, chalk, aluminium oxide/ hydroxide, quartz, carbon black, lead white",,,,,R,1,YES,YES,YES,,"KMS1178-F3, KMS1178-F4",,,,Gianluca Pastorelli,SMK Kress/National Gallery spreadsheet (unpublished),,
M722,2,"1. Yellowish-brown, tan ground",LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Melanie Gifford,"Gifford, Melanie. “Style and Technique in the Evolution of Naturalism: North Netherlandish Landscape Painting in the Early Seventeenth Century,” 1997.",,
M723,1,"1. Thin, light grey ground layer",LG,,,,LG,,,,,,LG,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"Ground layer visible in the signature, which was scratched into the wet paint with the handle of a brush"
M724,2,"1. Chalk
2. Peach coloured preparatory layer",LY-P,,,,LY,Calcium carbonate (chalk),P,"Lead white, organic red, vermilion, (charcoal?) black, possibly chalk",,,P,1,YES,YES,YES,,,,,,Abbie Vandivere,"Vandivere, Abbie. “From the Ground Up: Surface and Sub-Surface Effects in Fifteenth- and Sixteenth-Century Netherlandish Paintings.” PhD dissertation, Universiteit van Amsterdam, 2013.",,Pendant to M725 Portrait of Erard de la Marck
M725,2,"1. Chalk
2. Peach coloured preparatory layer",LY-P,,,,LY,Calcium carbonate (chalk),P,"Lead white, organic red, vermilion, (charcoal?) black, possibly chalk",,,P,1,YES,YES,YES,,,,,,Abbie Vandivere,"Bagley-Young, Abigail. “Jan Cornelisz Vermeyen’s ‘Cardinal Erard de La Marck’ and ‘Holy Family’: A Diptych Reunited.” The Burlington Magazine 150, no. 1259 (2008): 76–82.",,Pendant to M724 Holy Family
M726,2,"1. Chalk
2. ""Flesh coloured"" layer of lead white, vermilion, azurite, black",LY-P,,,,LY,Calcium carbonate (chalk),P,"Lead white, vermilion, azurite, black",,,P,1,YES,YES,YES,,,,,,Abbie Vandivere,"Vandivere, Abbie. “From the Ground Up: Surface and Sub-Surface Effects in Fifteenth- and Sixteenth-Century Netherlandish Paintings.” PhD dissertation, Universiteit van Amsterdam, 2013.",,"Inferring that first layer is a chalk ground, not sure what analysis besides light microscopy has been used"
M727,2,"1. Semi-translucent lower layer, largely calcium carbonate but containing also a little red and brown ochre
2. Warm mid-grey layer, mainly of lead white, with charcoal and some brownish ochre",LBr-G,,,,LBr,"Calcium carbonate (chalk), red ochre, brown ochre",G,"Lead white, charcoal black, brown ochre",,,G,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “The National Gallery Van Dycks: Technique and Development.” The National Gallery Technical Bulletin 20 (1999): 50–83.",,
M728,2,"1. Translucent lower ground of mid red-brown
2. Thin layer of grey comprising of lead white, lamp black, and calcium carbonate",Br-G,,,,Br,"Calcium carbonate (chalk), red earth, brown earth",G,"Lead white, lamp black, calcium carbonate (chalk)",,,G,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “The National Gallery Van Dycks: Technique and Development.” The National Gallery Technical Bulletin 20 (1999): 50–83.",,"Unclear what the exact composition of the lower ground is, observations here based on cross-section image. Observations here based on the original ground layers- there is an added strip with a thicker grey ground."
M729,1,"1. Single layer of brownish-cream colour, composed principally of calcium carbonate and silica (silicon dioxide) with small amounts of brownish earth and lead white",LBr,,,,LBr,"Calcium carbonate, silica (silicon dioxide), brownish earth, lead white",,,,,LBr,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “The National Gallery Van Dycks: Technique and Development.” The National Gallery Technical Bulletin 20 (1999): 50–83.",,This type of priming was common in seventeenth-century Italy and Spain and likely appears darker now than when originally applied
M730,2,"1. Chalk and glue ground
2. Very thin light greyish-brown imprimatura",LY-LG,,,,LY,Calcium carbonate (chalk),LG,,,,LG,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “The National Gallery Van Dycks: Technique and Development.” The National Gallery Technical Bulletin 20 (1999): 50–83.",,"Pigments for imprimatura not listed, most likely lead white with black and brown pigments. It is applied smoothly and not in the ""streaky"" manner of oil sketches"
M731,2,"1. Chalk and glue ground
2. Very thin  greyish  imprimatura",LY-LG,,,,LY,Calcium carbonate (chalk),LG,,,,LG,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “The National Gallery Van Dycks: Technique and Development.” The National Gallery Technical Bulletin 20 (1999): 50–83.",,"Title listed in article as ""Carlo and Ubaldo see Rinaldo conquered by Love for Armida"". Grisaille on oak panel. "
M732,1,1. Light greyish-brown ground of ,LBr,,,,LBr,"Lead white, charcoal black, Cassel earth, yellow earth",,,,,LBr,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “The National Gallery Van Dycks: Technique and Development.” The National Gallery Technical Bulletin 20 (1999): 50–83.",,
M733,2,"1. Strong red-brown layer of mainly red iron oxide with calcium carbonate
2. Mid grey-brown priming of lead white, charcoal black, and some red and brown earth pigment",R-G,,,,R,"Red iron oxide, calcium carbonate (chalk)",G,"Lead white, charcoal black, red and brown earth",,,G,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “The National Gallery Van Dycks: Technique and Development.” The National Gallery Technical Bulletin 20 (1999): 50–83.",,
M734,2,"1. Thin red-brown layer of reddish ochre and calcium carbonate
2. Slightly brownish grey second ground of lead white, charcoal black, brownish ochre, Cassel earth",R-G,,,,R,"Red iron oxide, calcium carbonate (chalk)",G,"Lead white, charcoal black, brown ochre, Cassel earth",,,G,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “The National Gallery Van Dycks: Technique and Development.” The National Gallery Technical Bulletin 20 (1999): 50–83.",,
M735,1,1. Single layer of light biscuit-coloured ground of lead white and translucent brown earth (probably Cassel earth),LBr,,,,LBr,"Lead white, brown earth (Cassel)",,,,,LBr,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “The National Gallery Van Dycks: Technique and Development.” The National Gallery Technical Bulletin 20 (1999): 50–83.",,
M736,2,"1. Chalk and glue ground
2. Striped imprimatura of yellow-brown earth and lead white",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Yellow-brown earth, lead white",,,LBr,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Plesters, Joyce. “‘Samson and Delilah’: Rubens and the Art and Craft of Painting on Panel.” National Gallery Technical Bulletin 7 (1983): 30–49.",,
M737,2,"1. Thick reddish-brown translucent layer composed of calcium carbonate and red earth
2. Very thin upper priming of a warmish mid grey-brown",R-G,,,,R,"Calcium carbonate (chalk), red earth",G,,,,G,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Roy, Ashok. “Rubens’s ‘Peace and War.’” National Gallery Technical Bulletin 20 (1999).",,"This is from the central portion of the picture. There is a different double ground of light beige over mid red-brown on the additions. The terminology of ""warmish mid grey-brown"" is unclear so grey is used here to classify this with other red-grey double grounds until a colour-corrected image is made"
M738,2,"1. Chalk ground
2. Thick grey layer of lead white and lamp black",LY-G,,,,LY,Calcium carbonate (chalk),G,"Lead white, lamp black",,,G,1,YES,YES,YES,National Gallery London,,,,,National Gallery Scientific Department,"Wyld, Martin. “The Restoration History of Holbein’s ‘Ambassadors.’” National Gallery Technical Bulletin 19 (1998).",,
M739,1,1. Thin chalk  ground,LY,,,,LY,Calcium carbonate (chalk),,,,,LY,2,YES,YES,,,,,,,Karin Groen,"Tauber, Gwen. “A Note on Technical Peculiarities in a Portrait by Carel Fabritius.” ArtMatters 2 (2005): 103–8.",,
M740,1,1. Yellow-tan ground based on ochre and clay materials,Y,,,,Y,"Siliceous earths, calcite, and traces of dolomite, colored with small amounts of ochre and charcoal black",,,,,Y,1,YES,YES,YES,,,,,,Melanie Gifford,"Gifford, Melanie. “Rubens’s Invention and Evolution: Material Evidence in The Fall of Phaeton.” Journal of Historians of Netherlandish Art 11, no. 2 (2019). https://jhna.org/articles/rubens-invention-evolution-fall-of-phaeton/.",,
M741,2,"1. Chalk
2. Very thin, streaky light grey layer with black and red particles",LY-LG,,,,LY,Calcium carbonate (chalk),LG,"Lead white, black, red particles",,,LG,2,YES,YES,,University of Amsterdam,RMCC 2127-01,,,,Rosa Boute,UvA Conservation MA Reports,,Shared by Maartje Stols-Witlox
M742,2,"1. Peach-coloured layer of earth pigments
2. Beige layer",P-LBr,,,,P,"Earth pigments, chalk",LBr,Lead white,,,LBr,2,YES,YES,,University of Amsterdam,BMHs00474a.1,,,,Michelle Vergeer,UvA Conservation MA Reports,,Shared by Maartje Stols-Witlox
M743,2,"1. Peach-coloured layer of earth pigments
2. Grey layer",P-LG,,,,P,,LG,,,,LG,3,,,,University of Amsterdam,,,,,Michelle Vergeer,UvA Conservation MA Reports,,Shared by Maartje Stols-Witlox
M744,2,"1. Chalk
2. Light grey layer",LY-LG,,,,LY,Calcium carbonate (chalk),LG,"Lead white, black",,,LG,3,,,,University of Amsterdam,,,,,Sepha Wouda,UvA Conservation MA Reports,,Shared by Maartje Stols-Witlox. Analysis based on stereomicroscopy of the surface and XRF analysis
M745,2,"1. Sandy-coloured ground of earth pigments with large white and black particles
2. Darker coloured layer with various earth pigments, appears dark grey on the surface",Br-DG,,,,Br,"Chalk, earth pigments, lead white, charcoal black",DG,"Chalk, earth pigments, lead white, charcoal black",,,DG,2,YES,YES,,University of Amsterdam,RMCCs00012-2,,,,Alma Jongstra,UvA Conservation MA Reports,,Shared by Maartje Stols-Witlox
M746,2,"1. Chalk
2. Light yellow ochre imprimatura",LY-Y,,,,LY,Calcium carbonate (chalk),Y,"Lead white, yellow ochre",,,Y,2,YES,YES,,University of Amsterdam,AHM SA2077-1,,,,Stefanie Litjens,UvA Conservation MA Reports,,Shared by Maartje Stols-Witlox
M747,2,"1. Chalk
2. Light yellow ochre imprimatura",LY-Y,,,,LY,Calcium carbonate (chalk),Y,"Lead white, yellow ochre",,,Y,3,YES,YES,,University of Amsterdam,AHM SA2078-1,,,,Lidwien Wösten,UvA Conservation MA Reports,,Shared by Maartje Stols-Witlox
M748,1,1. Gesso ground,LY,,,,LY,Calcium sulphate (gesso),,,,,LY,2,YES,YES,,Rijksmuseum (PSD),R30/1-17,https://psa.rijksmuseum.nl/art-object-SK-A-2843/sample-set-210,,,"JRJ van Asperen de Boer, Arie Wallert",Rijksmuseum Paint Sample Database,,"Rijksmuseum catalogue technical entry: ""The ground has been identified as gesso. Cross-sections of samples show that the paint layers lie directly on the unprimed ground."""
M749,2,"1. Chalk
2. Thin light brown layer with small brown, white, and black particles",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"White, brown, and black particles",,,LBr,2,YES,YES,,Rijksmuseum (PSD),SK-A-312/01,https://psa.rijksmuseum.nl/art-object-SK-A-312/sample-set-543,,,"Ige Verslype, Ilse Steeman",Rijksmuseum Paint Sample Database,,
M750,1,White ground,W,,,,W,,,,,,W,3,YES,,,"RKD, JRJ van Asperen de Boer archive",,,,,"JRJ van Asperen de Boer, W. de Ridder, J.P. Filedt Kok","Rijksmuseum, Early Netherlandish Paintings, online coll. cat. Amsterdam",,
M751,2,"1. Chalk
2. Opaque, off-white priming",LY-LY,,,,LY,Calcium carbonate (chalk),LY,,,,LY,2,YES,,,Mauritshuis,841/1-3,,,,R. Hoppenbrouwers,"Rijksmuseum, Early Netherlandish Paintings, online coll. cat. Amsterdam",,
M752,2,"1. Whitish coloured ground
2. White priming",LY-W,,,,LY,,W,,,,W,3,,,,,,,,,W. de Ridder,"Rijksmuseum, Early Netherlandish Paintings, online coll. cat. Amsterdam",,
M753,2,"1. Off-white ground
2. Streaky priming",LY-LY,,,,LY,,LY,,,,LY,3,,,,,,,,,Ige Verslype,"Rijksmuseum, Early Netherlandish Paintings, online coll. cat. Amsterdam",,Part of a seriesof 12  but I'm only including this one because they haven't been sampled and are monochrome
M754,2,"1. White ground
2. Grey intermediate layer",LY-G,,,,LY,,G,,,,G,2,YES,,,"RKD, JRJ van Asperen de Boer archive",A118/1-2,,,,"JRJ van Asperen de Boer, W. de Ridder","Rijksmuseum, Early Netherlandish Paintings, online coll. cat. Amsterdam",,
M755,2,"1. Chalk ground
2. White priming",LY-W,,,,LY,,W,Lead white,,,W,2,YES,,,"RKD, JRJ van Asperen de Boer archive",A97/1-8,,,,"JRJ van Asperen de Boer, Anna Krekeler","Rijksmuseum, Early Netherlandish Paintings, online coll. cat. Amsterdam",,"In archival document: ""In all nine Bathsheba samples there is a thin layer of lead white between the ground and the paint layers. This is encountered with great regularity and may be considered representative of the technique of the Scorel group."""
M756,1,White ground,W,,,,W,,,,,,W,3,YES,,,"RKD, Rijksmuseum",150/1-8,,,,"Arie Wallert, Micha Leeflang, JRJ van Asperen de Boer","Rijksmuseum, Early Netherlandish Paintings, online coll. cat. Amsterdam",,"Rijksmuseum catalogue only lists ""white ground"". Check Wallert samples- no photographs in Rijksmuseum Paint Sample Database"
M757,2,"1. Light brown ground in two applications
2. Grey layer with lead white and (charcoal?) black",LBr-G,,,,LBr,,G,,,,G,2,YES,YES,,Rijksmuseum (PSD),120/1-3,https://psa.rijksmuseum.nl/art-object-SK-A-103/sample-set-21/,,,Arie Wallert,Rijksmuseum Paint Sample Database,,Only one sample photographed in PSD- look at others and use SEM-EDX to identify pigments
M758,2,"1. Chalk 
2. Light grey layer",LY-LG,,,,LY,,LG,Lead white with fine black and orange particles,,,LG,2,YES,YES,,Rijksmuseum (PSD),109/25-30,https://psa.rijksmuseum.nl/art-object-SK-A-676/sample-set-25,,,"Arie Wallert, Moorea Hall-Aquitania",Rijksmuseum Paint Sample Database,,SEM-EDX needed to identify ground pigments
M759,2,"1. Chalk
2. Medium-rich layer with some lead white and black",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,,,,LBr,3,YES,YES,,Rijksmuseum (PSD),109/4-5,https://psa.rijksmuseum.nl/art-object-SK-A-1771/sample-set-30,,,"Arie Wallert, Moorea Hall-Aquitania",Rijksmuseum Paint Sample Database,,There is only one sample with the (likely) ground so further research is needed to confidently identify the upper ground layer
M760,2,"1. Chalk
2. Very thin lead white layer",LY-W,,,,LY,Calcium carbonate (chalk),W,Lead white,,,W,2,YES,YES,,Rijksmuseum (PSD),166/1-5,https://psa.rijksmuseum.nl/art-object-SK-A-3118/sample-set-82,,,Arie Wallert,Rijksmuseum Paint Sample Database,,"Pendant to SK-A-3119, but that has been transferred from panel to canvas and seems to have lost the original ground layers"
M761,2,"1. Chalk
2. White second ground",LY-W,,,,LY,Calcium carbonate (chalk),W,White,,,W,2,YES,YES,,Rijksmuseum (PSD),159/1-8,https://psa.rijksmuseum.nl/art-object-SK-A-4046/sample-set-79,,,Arie Wallert,Rijksmuseum Paint Sample Database,,Some samples taken from the painted reverse
M762,1,"1. Single, smooth, warm, light brown ground containing large lead white particles and earth pigments",LBr,,,,LBr,"Lead white, earth pigments",,,,,LBr,2,YES,YES,,Rijksmuseum (PSD),173/1-3,https://psa.rijksmuseum.nl/art-object-SK-A-772/sample-set-77,,,Arie Wallert,Rijksmuseum Paint Sample Database,,
M763,2,"1. Medium rich chalk ground
2. Grey layer with lead white, black, and brown pigments",LY-G,,,,LY,Calcium carbonate (chalk),G,"Lead white, black, brown particles",,,G,2,YES,YES,,Rijksmuseum (PSD),98/1-15,https://psa.rijksmuseum.nl/art-object-SK-A-598/sample-set-89,,,Arie Wallert,Rijksmuseum Paint Sample Database,,
